id	sys	dpt	name	dsc	disable
0	sdku	ZDV	A_KP_1_ZDV_1	КП 1 Задв.1
1	sdku	ZDV	A_KP_1_ZDV_2	КП 1 Задв.2
2	sdku	ZDV	A_KP_1_ZDV_3	КП 1 Задв.3
3	sdku	ZDV	A_KP_1_ZDV_4	КП 1 Задв.4
4	sdku	ZDV	A_KP_1_ZDV_5	КП 1 Задв.5
5	sdku	ZDV	A_KP_1_ZDV_6	КП 1 Задв.6
6	sdku	ZDV	A_KP_1_ZDV_7	КП 1 Задв.7
7	sdku	ZDV	A_KP_1_ZDV_8	КП 1 Задв.8
8	sdku	ZDV	A_KP_1_ZDV_9	КП 1 Задв.9
9	sdku	ZDV	A_KP_1_ZDV_10	КП 1 Задв.10
10	sdku	ZDV	A_KP_2_ZDV_1	КП 2 Задв.1
11	sdku	ZDV	A_KP_2_ZDV_2	КП 2 Задв.2
12	sdku	ZDV	A_KP_2_ZDV_3	КП 2 Задв.3
13	sdku	ZDV	A_KP_2_ZDV_4	КП 2 Задв.4
14	sdku	ZDV	A_KP_2_ZDV_5	КП 2 Задв.5
15	sdku	ZDV	A_KP_2_ZDV_6	КП 2 Задв.6
16	sdku	ZDV	A_KP_2_ZDV_7	КП 2 Задв.7
17	sdku	ZDV	A_KP_2_ZDV_8	КП 2 Задв.8
18	sdku	ZDV	A_KP_2_ZDV_9	КП 2 Задв.9
19	sdku	ZDV	A_KP_2_ZDV_10	КП 2 Задв.10
20	sdku	ZDV	A_KP_3_ZDV_1	КП 3 Задв.1
21	sdku	ZDV	A_KP_3_ZDV_2	КП 3 Задв.2
22	sdku	ZDV	A_KP_3_ZDV_3	КП 3 Задв.3
23	sdku	ZDV	A_KP_3_ZDV_4	КП 3 Задв.4
24	sdku	ZDV	A_KP_3_ZDV_5	КП 3 Задв.5
25	sdku	ZDV	A_KP_3_ZDV_6	КП 3 Задв.6
26	sdku	ZDV	A_KP_3_ZDV_7	КП 3 Задв.7
27	sdku	ZDV	A_KP_3_ZDV_8	КП 3 Задв.8
28	sdku	ZDV	A_KP_3_ZDV_9	КП 3 Задв.9
29	sdku	ZDV	A_KP_3_ZDV_10	КП 3 Задв.10
